open_time,close_time,open,high,low,close,volume,quote_volume,num_trades,close_frac_diff
2025-08-12 03:39:59.999,2025-08-12 07:04:59.999,119109.99,119158.06,118424.86,118983.59,2662.509520000001,316443624.7807323,268103,23567.357070184444
2025-08-12 07:04:59.999,2025-08-12 11:04:59.999,118983.59,119150.0,118207.47,118497.13,2653.6550700000003,315150825.35401595,278084,23113.013558160354
2025-08-12 11:04:59.999,2025-08-12 13:34:59.999,118497.13,119516.0,118222.0,119515.99,2692.5222400000002,320150329.0968702,444449,24241.68824401773
2025-08-12 13:34:59.999,2025-08-12 16:04:59.999,119515.99,120192.1,118631.69,120013.85,2681.9629899999995,320099239.95832694,571855,24579.247688298987
2025-08-12 16:04:59.999,2025-08-12 20:44:59.999,120013.85,120158.0,119172.62,120034.51,2700.338820000001,323213733.9187481,621628,24442.140440246105
2025-08-12 20:44:59.999,2025-08-13 01:59:59.999,120034.51,120324.43,119337.67,119478.47,2628.7527000000005,315207446.8519384,470096,23806.618022768
2025-08-13 01:59:59.999,2025-08-13 05:54:59.999,119478.47,119820.18,118920.92,119024.02,2684.0483799999997,320534151.46933985,367533,23411.107267203843
2025-08-13 05:54:59.999,2025-08-13 10:09:59.999,119024.02,120259.58,118955.99,120258.67,2675.4370999999996,320301548.04474646,378867,24741.090994440616
2025-08-13 10:09:59.999,2025-08-13 13:19:59.999,120258.67,120732.94,120209.51,120566.0,2662.7455400000003,320849434.6953957,339836,24831.38220622232
2025-08-13 13:19:59.999,2025-08-13 14:09:59.999,120566.0,122150.0,120106.02,122116.55,2653.1278700000003,322098613.0462471,387497,26233.43394872974
2025-08-13 14:09:59.999,2025-08-13 15:24:59.999,122116.55,122200.0,120309.73,120580.4,2745.8082600000002,333241234.7603985,538996,24307.08522533432
2025-08-13 15:24:59.999,2025-08-13 18:29:59.999,120580.4,121954.51,120452.0,121627.74,2685.8801299999996,326238245.67854214,557998,25480.870110341973
2025-08-13 18:29:59.999,2025-08-13 20:34:59.999,121627.74,122842.72,121429.36,122740.76,2642.30024,323072684.99542487,409203,26388.000895163757
2025-08-13 20:34:59.999,2025-08-13 22:49:59.999,122740.76,123637.68,122298.2,123544.52,2564.12721,315241277.3325179,381352,26869.29786094422
2025-08-13 22:49:59.999,2025-08-14 01:04:59.999,123544.52,124474.0,122903.85,123745.22,2598.2228260000006,321363470.95129955,456233,26749.072223422045
2025-08-14 01:04:59.999,2025-08-14 05:29:59.999,123745.22,123849.98,122705.48,122705.49,2577.8418500000007,318107411.2248511,467906,25494.429287660067
2025-08-14 05:29:59.999,2025-08-14 07:39:59.999,122705.49,122800.0,121313.86,122002.39,2672.9226799999997,325759262.8172317,361618,24858.86055343809
2025-08-14 07:39:59.999,2025-08-14 10:49:59.999,122002.39,122045.9,121111.0,121121.01,2598.1810800000003,316053075.1868948,307488,24093.82881096042
2025-08-14 10:49:59.999,2025-08-14 12:34:59.999,121121.01,121231.82,118500.0,118715.99,3422.5366399999994,411953897.73946023,389235,21883.28522149469
2025-08-14 12:34:59.999,2025-08-14 12:59:59.999,118715.99,119770.03,117632.0,118866.37,2710.68255,322464545.45061815,339928,22578.96546681368
2025-08-14 12:59:59.999,2025-08-14 13:44:59.999,118866.37,119249.2,117727.73,118270.02,2686.1588899999997,318187814.0759258,464520,22171.91757389398
2025-08-14 13:44:59.999,2025-08-14 15:14:59.999,118270.02,119361.45,118008.32,118535.99,2715.96944,322212645.4529552,460376,22671.02540706577
2025-08-14 15:14:59.999,2025-08-14 17:04:59.999,118535.99,118594.67,117407.09,117782.63,2714.88014,320228330.042766,480573,21987.506439146644
2025-08-14 17:04:59.999,2025-08-14 21:14:59.999,117782.63,118535.0,117180.0,118148.21,2672.11741,315060876.3725272,529086,22564.14964045689
2025-08-14 21:14:59.999,2025-08-15 02:39:59.999,118148.21,118830.41,117302.33,118830.41,2686.6955,317593608.13932157,568453,23279.625250149023
2025-08-15 02:39:59.999,2025-08-15 09:09:59.999,118830.41,119216.82,118604.41,119000.64,2666.7019300000006,317197419.4911577,508837,23355.837176922505
2025-08-15 09:09:59.999,2025-08-15 13:54:59.999,119000.64,119130.77,117743.21,117746.57,2681.64668,318058792.48798937,563786,22048.64569801693
2025-08-15 13:54:59.999,2025-08-15 15:39:59.999,117746.57,118274.0,116935.44,117127.52,2723.0858800000005,319870812.34502214,563295,21662.92390474306
2025-08-15 15:39:59.999,2025-08-15 19:34:59.999,117127.52,117882.35,116803.99,117187.99,2716.8454700000007,318549152.1508093,681615,21939.981962537888
2025-08-15 19:34:59.999,2025-08-16 02:44:59.999,117187.99,117898.99,116862.5,117547.44,2697.04405,316616437.773206,464201,22393.222245019468
2025-08-16 02:44:59.999,2025-08-16 12:39:59.999,117547.44,117884.0,117143.98,117720.0,2719.292810000001,319508222.85569465,546727,22558.528428814243
2025-08-16 12:39:59.999,2025-08-17 00:39:59.999,117720.0,117825.0,117219.34,117312.01,2683.5455,315652594.0666,474633,22135.33013635993
2025-08-17 00:39:59.999,2025-08-17 11:19:59.999,117312.01,118484.0,117172.21,118286.99,2673.274679999998,315332808.14703614,490519,23198.463165968584
2025-08-17 11:19:59.999,2025-08-17 22:04:59.999,118286.99,118575.0,117321.53,117775.8,2691.2248799999998,317460486.94208163,536083,22534.976236202565
2025-08-17 22:04:59.999,2025-08-18 01:54:59.999,117775.8,117995.37,116166.03,116188.55,2802.96051,327873417.7191905,524865,21001.72770769747
2025-08-18 01:54:59.999,2025-08-18 03:34:59.999,116188.55,116455.92,115161.01,115239.43,2840.4923200000003,328782951.30512965,464275,20387.257764059526
2025-08-18 03:34:59.999,2025-08-18 06:44:59.999,115239.43,115712.49,114898.99,115042.67,2952.620180000001,340378310.9207257,485105,20517.86719647271
2025-08-18 06:44:59.999,2025-08-18 09:54:59.999,115042.67,115477.2,114640.14,115100.4,2833.4357800000002,326128685.2011915,485991,20775.00734565541
2025-08-18 09:54:59.999,2025-08-18 14:34:59.999,115100.4,115736.54,114825.0,115258.03,2769.52661,319067995.43988234,601279,21042.113228755945
2025-08-18 14:34:59.999,2025-08-18 19:54:59.999,115258.03,116800.0,114919.79,116320.0,2728.31134,316757646.66072583,636087,22155.069041764786
2025-08-18 19:54:59.999,2025-08-19 03:09:59.999,116320.0,116980.0,115472.0,115515.52,2764.7026800000003,321274059.5159624,721915,21190.443197854882
2025-08-19 03:09:59.999,2025-08-19 07:14:59.999,115515.52,115676.45,114366.0,114875.92,2746.4270299999985,315809992.85658354,633286,20672.152905123003
2025-08-19 07:14:59.999,2025-08-19 13:34:59.999,114875.92,115875.84,114600.74,115488.28,2844.254820000001,327798017.4234048,552050,21464.90520253082
2025-08-19 13:34:59.999,2025-08-19 14:59:59.999,115488.28,115548.25,113770.34,113882.66,2773.4094200000004,317285988.72364557,450856,19824.854082055128
2025-08-19 14:59:59.999,2025-08-19 17:04:59.999,113882.66,114177.58,113200.0,113312.11,2921.9679699999992,332361997.43020505,458937,19586.798822882673
2025-08-19 17:04:59.999,2025-08-19 20:14:59.999,113312.11,113596.07,112767.06,112976.0,2781.611309999999,314939897.41085094,409302,19510.495834722635
2025-08-19 20:14:59.999,2025-08-20 00:34:59.999,112976.0,113589.48,112732.58,113114.48,2805.6200899999994,317554210.32888037,416335,19856.558012033012
2025-08-20 00:34:59.999,2025-08-20 04:04:59.999,113114.48,113642.97,112566.01,113589.94,2821.9515799999995,319327876.17751867,420860,20429.32950582962
2025-08-20 04:04:59.999,2025-08-20 09:54:59.999,113589.94,114016.77,113401.0,113636.0,2785.7026299999998,316834068.340959,395466,20461.113363927958
2025-08-20 09:54:59.999,2025-08-20 14:09:59.999,113636.0,113944.0,112400.0,112454.75,3089.6684499999997,350040723.1308374,681229,19298.992278216654
2025-08-20 14:09:59.999,2025-08-20 16:29:59.999,112454.75,114326.35,112380.0,114267.27,2876.924570000001,326885010.03774536,615759,21377.22079514434
2025-08-20 16:29:59.999,2025-08-20 21:34:59.999,114267.27,114470.0,113264.01,114011.11,2772.08085,315951608.0259676,627236,20883.084753151925
2025-08-20 21:34:59.999,2025-08-21 04:44:59.999,114011.11,114821.76,113804.0,113863.57,2782.7606699999997,317976393.06134874,590634,20727.013820837965
2025-08-21 04:44:59.999,2025-08-21 11:49:59.999,113863.57,114010.83,113070.6,113080.61,2814.88317,319871405.3315903,537551,19973.320703511185
2025-08-21 11:49:59.999,2025-08-21 16:19:59.999,113080.61,113995.11,112608.64,112969.46,2836.2269099999994,320973212.8065345,634758,20036.716987956795
2025-08-21 16:19:59.999,2025-08-21 21:29:59.999,112969.46,112969.47,112015.67,112542.92,2805.92474,315366941.18617934,625065,19711.327029885608
2025-08-21 21:29:59.999,2025-08-22 06:04:59.999,112542.92,113525.0,112272.04,113099.99,2794.9548500000005,315652664.11622685,640408,20415.695541580455
2025-08-22 06:04:59.999,2025-08-22 11:34:59.999,113099.99,113394.76,112244.73,112256.37,2793.48465,315478735.6858188,475634,19541.249368151126
2025-08-22 11:34:59.999,2025-08-22 13:59:59.999,112256.37,112713.93,111684.79,112487.11,2867.36052,321766408.16779643,601239,19954.464600280364
